"station_number";"project";"sampling_type";"vessel_identifier";"trip_code";"fishing_validity";"aggregation_level";"catch_registration";"species_registration";"date";"time";"fishing_duration";"pos_start_lat_dec";"pos_start_lon_dec";"pos_stop_lat_dec";"pos_stop_lon_dec";"area";"statistical_rectangle";"subpolygon";"gear_identifier";"tag_operation";"diurnal_operation";"gear_speed";"gear_depth";"sea_state";"wind_force_beaufort";"wind_cardinal_direction";"recilinear_operation";"seabed_features";"sub_gear_identifier";"gear_label";"sub_gear_position";"sorting_start_date_time";"sorting_end_date_time";"catch_weight";"discard_weight";"coef_discard"
1;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-12";"06:30";3.75;47.5138888888889;-4.04305555555556;47.5583333333333;-4.19166666666667;NA;"24E5";NA;1;3;"Y";3.5;99;4;4;"Ouest";"N";NA;1;"STD";"B";"2021-05-12 10:25:00";"2021-05-12 12:00:00";NA;123.849998474121;0.0834880926926171
2;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-12";"06:30";3.75;47.5138888888889;-4.04305555555556;47.5583333333333;-4.19166666666667;NA;"24E5";NA;1;3;"Y";3.5;99;4;4;"Ouest";"N";NA;2;"TEST";"T";"2021-05-12 10:25:00";"2021-05-12 NA";NA;70.5599975585938;0.174319736625853
3;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-12";"14:50";4;47.5416666666667;-4.255;47.5591666666667;-4.215;NA;"24E5";NA;1;5;"Y";3.5;104;5;5;"Ouest";"N";NA;1;"STD";"B";"2021-05-12 19:02:00";"2021-05-12 20:15:00";NA;70.4000015258789;0.150568183973308
4;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-12";"14:50";4;47.5416666666667;-4.255;47.5591666666667;-4.215;NA;"24E5";NA;1;5;"Y";3.5;104;5;5;"Ouest";"N";NA;2;"TEST";"T";"2021-05-12 19:02:00";"2021-05-12 NA";NA;59.2999992370605;0.198988201392089
5;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-13";"06:25";3.83333333333333;47.5208333333333;-4.1075;47.5433333333333;-4.25805555555556;NA;"24E5";NA;1;8;"Y";3.40000009536743;103;5;5;"Nord-Ouest";"N";NA;1;"STD";"B";"2021-05-13 10:26:00";"2021-05-13 11:30:00";NA;75;0.142666664123535
6;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-13";"06:25";3.83333333333333;47.5208333333333;-4.1075;47.5433333333333;-4.25805555555556;NA;"24E5";NA;1;8;"Y";3.40000009536743;103;5;5;"Nord-Ouest";"N";NA;2;"TEST";"T";"2021-05-13 10:26:00";"2021-05-13 NA";NA;70.9000015258789;0.125528905881359
7;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-13";"14:50";4;47.5366666666667;-4.12222222222222;47.5416666666667;-4.11194444444444;NA;"24E5";NA;1;10;"Y";3.40000009536743;99;4;4;"Nord-Ouest";"N";NA;1;"STD";"B";"2021-05-13 19:03:00";"2021-05-13 20:00:00";NA;102.5;0.0902439024390244
8;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-13";"14:50";4;47.5366666666667;-4.12222222222222;47.5416666666667;-4.11194444444444;NA;"24E5";NA;1;10;"Y";3.40000009536743;99;4;4;"Nord-Ouest";"N";NA;2;"TEST";"T";"2021-05-13 19:03:00";"2021-05-13 NA";NA;70.8000030517578;0.16172315417691
9;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-14";"10:35";3.91666666666667;47.5580555555556;-4.12166666666667;47.5844444444445;-4.07944444444444;NA;"24E5";NA;1;13;"Y";3.70000004768372;97;4;4;"Nord-Ouest";"N";NA;1;"STD";"B";"2021-05-14 14:43:00";"2021-05-14 16:15:00";NA;133.300003051758;0.0690172513026346
10;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-14";"10:35";3.91666666666667;47.5580555555556;-4.12166666666667;47.5844444444445;-4.07944444444444;NA;"24E5";NA;1;13;"Y";3.70000004768372;97;4;4;"Nord-Ouest";"N";NA;2;"TEST";"T";"2021-05-14 14:43:00";"2021-05-14 NA";NA;94.4000015258789;0.0879237294128591
11;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-14";"14:45";4;47.5747222222222;-4.05555555555556;47.5530555555556;-3.96666666666667;NA;"24E5";NA;1;14;"Y";4;93;3;3;"Ouest";"Y";NA;1;"STD";"B";"2021-05-14 18:55:00";"2021-05-14 19:30:00";NA;58.0999984741211;0.172117044107225
12;"InseR";"S";"vessel1";3;"V";"H";"All";"Par";"2021-05-14";"14:45";4;47.5747222222222;-4.05555555555556;47.5530555555556;-3.96666666666667;NA;"24E5";NA;1;14;"Y";4;93;3;3;"Ouest";"Y";NA;2;"TEST";"T";"2021-05-14 18:55:00";"2021-05-14 NA";NA;61.4000015258789;0.151465797387889
