"trip_code";"project";"vessel_identifier";"station_number";"species";"catch_category";"landing_category";"commercial_size_category_scale";"commercial_size_category";"subsampling_category";"sex";"length_code";"gear_identifier";"sub_gear_identifier";"gear_label";"subsample_weight";"coef_subsampling";"sample_weight";"weight"
"3";"InseR";"vessel1";"5";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1000;1;1000;1000
"3";"InseR";"vessel1";"8";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1700;1;1700;34735.4922896262
"3";"InseR";"vessel1";"8";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";1400;1;1400;900
"3";"InseR";"vessel1";"3";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1000;1;1000;60000
"3";"InseR";"vessel1";"5";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";300;1;300;32339.9410972382
"3";"InseR";"vessel1";"10";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;1;"STD";1500;1;1500;2700
"3";"InseR";"vessel1";"3";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";1100;1;1100;25153.2875200742
"3";"InseR";"vessel1";"10";"Lepidorhombus whiffiagonis";"LAN";"HUC";NA;NA;NA;NA;"cm";1;2;"TEST";200;1;200;20000
"3";"InseR";"vessel1";"10";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;1;"STD";500;0.013262599469496;3400;900
"3";"InseR";"vessel1";"3";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;1;"STD";500;0.0144092219020173;2900;1200
"3";"InseR";"vessel1";"8";"Nephrops norvegicus";"DIS";"HUC";"P/G";NA;"Vrac";NA;"mm";1;2;"TEST";500;0.0273224043715847;2300;1000
