id;description;EN;FR
0_test_entry;An example entry;This is the text output of the example entry;Ceci est la sortie de texte de l'entrée d'exemple
0_main_title;The main title of the sheet;Selectivity sheet - InseR;Fiche de sélectivité - InseR
0_sub_title_twin;The subtitle for twin protocol;Twin gear protocol;Protocole en engins jumeaux
0p_sub_title_paired;The subtitle for paired protocol;Paired gear protocol;Protocole en engins appariés simples
0u_sub_title_unpaired;The subtitle for unpaired protocol;Unpaired gear protocol;Protocole en engins indépendants
0_title_device;The section title for selected devices;Tested devices;Engins testés
0_gear;The name for the gear field;Gear;Engin
0_selective_device;The name for the selective device field;Selective device;Dispositif sélectif
0_codend_mesh;The name for the codend mesh size field;Codend mesh size (mm);Maillage du cul (mm)
0_headline;The name for the headline's length field;Headline (m);Corde de dos (m)
1_title;Title of the section 1;Trip description;Description de la marée
1_subtitle_vessel_trip;Subtitle for the vessels and trips descriptions;Vessels and trips;Navires et marées étudiées
1_project;name of the project's field;Project;Projet
1_ID_vessel;name of the vessel ID field;Vessel ID;ID Navire
1_vessel;Name of the vessel field;Vessel;Navire
1_ID_trip;Name of the trip ID field;Trip ID;ID Marée
1_FO;Name of the fishing operation field;Fishing operations;Opérations de pêche
1_start_date;Name of the starting date field;Starting date;Début
1_end_date;Name of the end date field;End date;Fin
1_subtitle_maps;Subtitle for the maps;Mapping of the fishing operations;Cartographie des opérations de pêche
1_subtitle_fishing_conditions;Subtitle for the fishing conditions;Fishing conditions;Conditions de pêche
1_missing_values;The message warning about missing values;Note : there are %i missing values among the %i fishing operations.;Note : il manque %i valeurs sur les %i opérations de pêche.
1_duration_caption;The figure title for operation duration;Duration of fishing operation in hours.;Durées des opérations de pêche en heures.
1_duration_labs;The figure axis label;Fishing duration (hours);Durée de pêche (heures)
1_depth_caption;The figure title for depth;Depth of the fishing gear at each fishing operation in meters.;Profondeur de pêche en mètres.
1_depth_labs;The figure axis label for depth;Fishing depth (m);Profondeur de pêche (m)
1_speed_caption;The figure title for speed;Gear speed at each fishing operation in knots.;Vitesse de l'engin en nœuds.
1_speed_labs;The figure axis label for speed;Gear speed (knots);Vitesse de l'engin (nœuds)
1_sea_state_caption;The figure title for sea state;Sea state at each fishing operation in Douglas scale.;Etat de la mer à chaque opération en échelle de Douglas.
1_sea_state_labs;The figure axis label for sea state;Sea state (Douglas);Etat de la mer (Douglas)
1_wind_caption;The figure title for wind force;Wind force at each fishing operation in Beaufort scale.;Force du vent à chaque opération en échelle de Beaufort.
1_wind_labs;The figure axis label for wind force;Wind force (Beaufort);Force du vent (Beaufort)
1_seabed_caption;The figure title for seabed;Seabed type at each fishing operation.;Type de fond à chaque opération de pêche.
1_seabed_labs;The figure axis label for seabed;Seabed type;Type de fond
1_wind_dir_caption;The figure title for wind direction;Wind direction at each fishing operation.;Direction du vent à chaque opération de pêche.
1_wind_dir_labs;The figure axis label for wind direction;Wind direction;Direction du vent
1_day_caption;The figure title for time of the day;Time of the day (day/night) for each fishing operation.;Période de la journée (jour/nuit) de chaque opération de pêche.
1_day;Day;Day;Jour
1_night;Night;Night;Nuit
1_subtitle_fishing_summary;Subtitle for the summary of the fishing conditions;Summary of the fishing conditions;Résumé des conditions de pêche
1_mean;Mean;Mean;Moyenne
1_median;Median;Median;Médiane
1_difference;Difference;Difference;Différence
1_values;NA Values;NA values;Valeurs NA
2_title;Title of the section 2;Catch analysis;Analyse des captures
2_1_subtitle;Subtitle for the total catches analysis;Total catches;Capture totale
2_1_subtitle_catch_weight;Subtitle for the catch weight analysis;Catches weights;Poids des captures
2_1_catch_caption;The figure title for the catches weights;Catch weight at each fishing operation, in kilograms. ;Poids de la capture à chaque opération de pêche, en kilogrammes.
2_1_catch_labs;The figure axis label for catch weight;Catch weight (kg);Poids de la capture (kg)
2_1_subtitle_sorting;Subtitle for the sorting time;Sorting time;Durée de tri
2_1_sorting_caption;The figure title for the sorting time;Sorting time at each fishing operation, in minutes. ;Durée de tri à chaque opération de pêche, en minutes.
