Field names,Type,Status,Basic checks,Comments
project,String,Obligatory,Code list,Name of the project underwhich the experiment was carried out
vessel_identifier,Integer,Obligatory,1 - 999 999,Encripted vessel identifier. ID encrypted so that no-one can map the ID to the real vessel
trip_code,NA,Obligatory,NA,Identifier of the trip for a given project and vessel
station_number,Integer,Obligatory,1 - 999 999,Identifier of the fishing operation for a given trip
gear_label,String,Obligatory,Code list,Identify the subgear (for twin protocol) or the gear (for paired/unpaired protocol): STD for Standard gear or TEST for experimental gear
tag_operation,String,Obligatory,NA,"Free tag used to associate station in case of ""paired"" protocols"
haul_date,String,Obligatory,YYYY-MM-DD,"Haul sarting date. ""YYYY-MM-DD"" (ISO 8601) in UTC"
haul_time,String,Obligatory,HH:MM:SS,"Haul starting time. ""HH:MM:SS"" (ISO 8601) in UTC"
fishing_duration,Integer,Obligatory,NA,minutes
fishing_validity,String,Optional,Code list,"I = Invalid ou V = Valid. Haul validity according to protocol criteria. If reported, invalid operations are removed."
statistical_rectangle,String,Optional,Code list,ICES statistical rectangle
pos_start_lat,Dec,Optional,NA,Latitude in decimal degrees of the shooting position
pos_stop_lat,Dec,Optional,NA,Latitude in decimal degrees of the hauling position
pos_start_lon,Dec,Optional,NA,Longitude in decimal degrees of the shooting position
pos_stop_lon,Dec,Optional,NA,Longitude in decimal degrees of the hauling position
water_depth,Integer,Optional,1 - 999 999,Water depth in metres
start_sorting_date_time,String,Optional,NA,"""YYYY-MM-DD HH:MM:SS"" (ISO 8601) in UTC"
end_sorting_date_time,String,Optional,NA,"""YYYY-MM-DD HH:MM:SS"" (ISO 8601)"
diurnal_operation,String,Optional,Y or N,Haul deployed during day or night time
gear_speed,Double,Optional,NA,Gear speed in knots
gear_depth,Double,Optional,NA,Gear Depth in metres
sea_state,String,Optional,Code list,Sea state from Douglas Scale
wind_force,String,Optional,Code list,Wind force from Beaufort Scale
wind_cardinal_direction,String,Optional,Code list,"N, NE, E, SE, S, SW, W, NW"
seabed_features,String,Optional,Code list,Sediment type of fishing ground
sub_gear_position,String,Optional,Free text,Identify the side of the subgear (e.g. Portside/Starboard for OTT).
catch_weight,Double,Optional,NA,Total weight of the catch in kg
discard_weight,Double,Optional,NA,Total weight of the discarded fraction of the catch in kg
coef_discard,Double,Optional,NA,Sampling ratio of the bulk fraction of the discards
