Field names,Type,Status,Basic checks,Comments
project,String,Obligatory,Code list,Name of the project underwhich the experiment was carried out
vessel_identifier,Integer,Obligatory,1 - 999 999,Encripted vessel identifier. ID encrypted so that no-one can map the ID to the real vessel
trip_code,String,Obligatory,NA,Identifier of the trip for a given project and vessel
gear_label,String,Obligatory,Code list,Identify the subgear (for twin protocol) or the gear (for paired/unpaired protocol): STD for Standard gear or TEST for experimental gear
vessel_name,String,Optional,Free text,Vessel name
selective_device,String,Optional,Free text,Name of the tested device
departure_date_time,String,Optional,NA,"""YYY-MM-DD HH:MM:SS"" (ISO 8601)"
return_date_time,String,Optional,NA,"""YYY-MM-DD HH:MM:SS"" (ISO 8601)"
mesh_gauge_codend_mm,Integer,Optional,NA,Codend mesh gauge in millimeters
headline_cumulative_length,Double,Optional,NA,"Headline length, in meters"
NA,NA,NA,NA,NA
Key fields,NA,NA,NA,NA
